_ - name,rank,enlabel,gov identfier,award,_ - external_url
Lieutenant Commander ROHITH MOHANDAS NAMBIAR,Lieutenant Commander ,Rohith Mohandas Nambiar,rohith-mohandas-nambiar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/rohith-mohandas-nambiar
Lieutenant Commander RS GILL,Lieutenant Commander Rs Gill,R S Gill,rs-gill,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/rs-gill
Lieutenant Commander SAJJAN KUMAR,Lieutenant Commander ,Sajjan Kumar,sajjan-kumar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/sajjan-kumar
"Lieutenant Commander SATYENDRA SHARMA, NM","Lieutenant Commander , Nm",Satyendra Sharma,satyendra-sharma-nm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/satyendra-sharma-nm
Lieutenant Commander VINOD KUMAR JHA,Lieutenant Commander ,Vinod Kumar Jha,vinod-kumar-jha,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/vinod-kumar-jha
Lieutenant DS PATHANIA,Lieutenant Ds Pathania,D S Pathania,ds-pathania,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ds-pathania
Lieutenant KISHAN SINGH CHUNDAWAT,Lieutenant ,Kishan Singh Chundawat,kishan-singh-chundawat,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/kishan-singh-chundawat
Lieutenant MANJIT SINGH CHILLAR,Lieutenant ,Manjit Singh Chillar,manjit-singh-chillar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/manjit-singh-chillar
Lieutenant OM PRAKASH SINDHU,Lieutenant ,Om Prakash Sindhu,om-prakash-sindhu,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/om-prakash-sindhu
Lieutenant PD UPPONI,Lieutenant Pd Upponi,P D Upponi,pd-upponi,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/pd-upponi
Lieutenant RAVINDER KAKAR,Lieutenant ,Ravinder Kakar,ravinder-kakar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ravinder-kakar
Lieutenant SHYAMRATTAN VARMA,Lieutenant ,Shyamrattan Varma,shyamrattan-varma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/shyamrattan-varma
Lieutenant SV PUROHIT,Lieutenant Sv Purohit,S V Purohit,sv-purohit,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/sv-purohit
Lieutenant VARUN SINGH,Lieutenant ,Varun Singh,varun-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/varun-singh
LNk Prem Chand Sharma,Lnk ,Prem Chand Sharma,prem-chand-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/prem-chand-sharma
"LS UMAKANT PANIGRAHI, LS CD II",Ls  Ls Cd Ii,"Umakant Panigrahi,",umakant-panigrahi-ls-cd-ii,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/umakant-panigrahi-ls-cd-ii
LT ABHINAV TRIPATHI,Lt ,Abhinav Tripathi,abhinav-tripathi,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/abhinav-tripathi
LT AMARJIT SINGH,Lt ,Amarjit Singh,amarjit-singh-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amarjit-singh-0
LT ARVIND KUMAR,Lt ,Arvind Kumar,arvind-kumar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/arvind-kumar
LT ASHOK KUMAR,Lt ,Ashok Kumar,ashok-kumar-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ashok-kumar-0
"Lt Cdr KS SANDHU, NM","Lt Cdr Ks Sandhu, Nm",K S Sandhu,ks-sandhu-nm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ks-sandhu-nm
Lt Cdr RAJESH SETHI,Lt Cdr ,Rajesh Sethi,rajesh-sethi,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/rajesh-sethi
LT CHUNDAWAT PRASHANT SINGH,Lt ,Chundawat Prashant Singh,chundawat-prashant-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chundawat-prashant-singh
"LT COL ADITYA NEGI, SM","Lt Col , Sm",Aditya Negi,aditya-negi-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/aditya-negi-sm
LT COL AJIT BHANDARKAR,Lt Col ,Ajit Bhandarkar,ajit-bhandarkar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ajit-bhandarkar
LT COL BACHITTAR SINGH,Lt Col ,Bachittar Singh,bachittar-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bachittar-singh
LT COL BIKRAM JIT SINGH,Lt Col ,Bikram Jit Singh,bikram-jit-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bikram-jit-singh
LT COL DHRUVJYOTI CHANDA,Lt Col ,Dhruvjyoti Chanda,dhruvjyoti-chanda,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dhruvjyoti-chanda
LT COL JAMSHED DADABHOY NADIRSHAW,Lt Col Jamshed Dadabhoy Nadirshaw,Jamshed DadabhNadirshaw,jamshed-dadabhoy-nadirshaw-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jamshed-dadabhoy-nadirshaw-0
"LT COL KANTAMNEMI SUDHAKAR RAO, SM","Lt Col , Sm",Kantamnemi Sudhakar Rao,kantamnemi-sudhakar-rao-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/kantamnemi-sudhakar-rao-sm
"LT COL KANWAR JAIDEEP SINGH, SC, SM","Lt Col , Sc, Sm",Kanwar Jaideep Singh,kanwar-jaideep-singh-sc-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/kanwar-jaideep-singh-sc-sm
LT COL MADAN LAKHI THADANI,Lt Col ,Madan Lakhi Thadani,madan-lakhi-thadani,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/madan-lakhi-thadani
LT COL MUKESH CHANDRA SHARMA,Lt Col ,Mukesh Chandra Sharma,mukesh-chandra-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/mukesh-chandra-sharma
LT COL NIRANJAN EK,Lt Col ,Niranjan Ek,niranjan-ek,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/niranjan-ek
"LT COL NV RAGHAVAN,SM","Lt Col Nv Raghavan,sm",N V Raghavan,nv-raghavansm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/nv-raghavansm
LT COL RAJ KUMAR,Lt Col ,Raj Kumar,raj-kumar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/raj-kumar
LT COL REDDY VENKATESHA,Lt Col ,Reddy Venkatesha,reddy-venkatesha,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/reddy-venkatesha
"LT COL SAMIR KUMAR CHAKRAVORTY,SM","Lt Col ,sm",Samir Kumar Chakravorty,samir-kumar-chakravortysm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/samir-kumar-chakravortysm
LT COL SANJAY KAUSHIK,Lt Col ,Sanjay Kaushik,sanjay-kaushik,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/sanjay-kaushik
LT COL SANKALP KUMAR (POSTHUMOUS),Lt Col  (posthumous),Sankalp Kumar,sankalp-kumar-posthumous,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/sankalp-kumar-posthumous
LT COL SATISH CHANDRA SHARMA,Lt Col ,Satish Chandra Sharma,satish-chandra-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/satish-chandra-sharma
LT COL SURINDER SINGH BAJWA,Lt Col ,Surinder Singh Bajwa,surinder-singh-bajwa,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/surinder-singh-bajwa
LT COL VIJAY KUMAR SITARAM,Lt Col ,Vijay Kumar Sitaram,vijay-kumar-sitaram,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/vijay-kumar-sitaram
LT COL VINAY RAO CHAUHAN,Lt Col ,Vinay Rao Chauhan,vinay-rao-chauhan,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/vinay-rao-chauhan
LT FERNANDES FRANCIS,Lt Fernandes Francis,Fernan Francis,fernandes-francis,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/fernandes-francis
LT GAURAV SINGH,Lt ,Gaurav Singh,gaurav-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gaurav-singh
LT HARI SINGH BIST,Lt ,Hari Singh Bist,hari-singh-bist,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/hari-singh-bist
LT HARJINDER PAL SINGH DHAMI,Lt ,Harjinder Pal Singh Dhami,harjinder-pal-singh-dhami,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harjinder-pal-singh-dhami
LT HARJINDER SINGH,Lt ,Harjinder Singh,harjinder-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harjinder-singh
LT HEMANT SINGH,Lt ,Hemant Singh,hemant-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/hemant-singh
LT JOGA SINGH,Lt ,Joga Singh,joga-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/joga-singh
LT KRISHAN DAYAL SINGH RATHORE,Lt ,Krishan Dayal Singh Rathore,krishan-dayal-singh-rathore,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/krishan-dayal-singh-rathore
LT LALIT KUMAR SHARMA,Lt ,Lalit Kumar Sharma,lalit-kumar-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/lalit-kumar-sharma
LT LEKH RAJ,Lt ,Lekh Raj,lekh-raj,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/lekh-raj
LT MAHESH KUMAR,Lt ,Mahesh Kumar,mahesh-kumar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/mahesh-kumar
LT MANAV YADAV,Lt ,Manav Yadav,manav-yadav,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/manav-yadav
LT MANISH PANDEY,Lt ,Manish Pandey,manish-pandey,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/manish-pandey
LT MANISH SINGH,Lt ,Manish Singh,manish-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/manish-singh
LT NAVIN NIROLA,Lt ,Navin Nirola,navin-nirola,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/navin-nirola
LT PREM NARAIN KACKER,Lt ,Prem Narain Kacker,prem-narain-kacker,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/prem-narain-kacker
LT RAHUL SHARMA,Lt ,Rahul Sharma,rahul-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/rahul-sharma
LT SANDEEP AZAD,Lt ,Sandeep Azad,sandeep-azad,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/sandeep-azad
"LT SATBIR SINGH, SM","Lt , Sm",Satbir Singh,satbir-singh-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/satbir-singh-sm
LT SATISH CHANDER CHADHA,Lt ,Satish Chander Chadha,satish-chander-chadha,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/satish-chander-chadha
LT SATYA JEET AHLAWAT,Lt ,Satya Jeet Ahlawat,satya-jeet-ahlawat,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/satya-jeet-ahlawat
LT TARA CHAND,Lt ,Tara Chand,tara-chand-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/tara-chand-0
LT THIYAM IBUNGOCHOUBA LUWANG,Lt ,Thiyam Ibungochouba Luwang,thiyam-ibungochouba-luwang,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/thiyam-ibungochouba-luwang
LT VEMBU SHANKAR,Lt ,Vembu Shankar,vembu-shankar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/vembu-shankar
LT VIKRAM BAHADUR SINGH,Lt ,Vikram Bahadur Singh,vikram-bahadur-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/vikram-bahadur-singh
LT-COL R.A SHEBBEARE,Lt-col R.A Shebbeare,R. A. Shebbeare,ra-shebbeare,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ra-shebbeare
M KAMAL NAIDU,,M Kamal Naidu,m-kamal-naidu,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/m-kamal-naidu
"MAHIPAL YADAV, PO UWI(AD)","Mahipal Yadav, Po Uwi(ad)",Mahipal Yadav Uwi,mahipal-yadav-po-uwiad,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/mahipal-yadav-po-uwiad
MAISNAM NINGHTHOU SINGH,,Maisnam Ninghthou Singh,maisnam-ninghthou-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/maisnam-ninghthou-singh
MAJ A.T. STEPHENSON,Maj A.T. Stephenson,A. T. Stephenson,stephenson,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/stephenson
MAJ ABHIJAI,Maj ,Abhijai,abhijai,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/abhijai
MAJ ABHISHEK CHAKRABARTY,Maj ,Abhishek Chakrabarty,abhishek-chakrabarty,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/abhishek-chakrabarty
MAJ ABHISHEK KUMAR,Maj ,Abhishek Kumar,abhishek-kumar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/abhishek-kumar
MAJ ADITYA CHAUHAN,Maj ,Aditya Chauhan,aditya-chauhan,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/aditya-chauhan
MAJ ADITYA KUMAR DEVRANI,Maj ,Aditya Kumar Devrani,aditya-kumar-devrani,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/aditya-kumar-devrani
MAJ AJAY KOTHIYAL,Maj ,Ajay Kothiyal,ajay-kothiyal,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ajay-kothiyal
MAJ AJAY PASBOLA,Maj ,Ajay Pasbola,ajay-pasbola,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ajay-pasbola
"MAJ AJAY SINGH CHAUHAN, SM","Maj , Sm",Ajay Singh Chauhan,ajay-singh-chauhan-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ajay-singh-chauhan-sm
"MAJ AJAY SINGH, SC","Maj , Sc",Ajay Singh,ajay-singh-sc,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ajay-singh-sc
MAJ AKASH SINGH,Maj ,Akash Singh,akash-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/akash-singh
MAJ Aman Oberoi,Maj ,Aman Oberoi,aman-oberoi,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/aman-oberoi
MAJ AMANPREET SINGH LEGHA,Maj ,Amanpreet Singh Legha,amanpreet-singh-legha,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amanpreet-singh-legha
MAJ AMARJEET SINGH,Maj ,Amarjeet Singh,amarjeet-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amarjeet-singh
MAJ AMBAIRSH BANERJEE,Maj ,Ambairsh Banerjee,ambairsh-banerjee,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ambairsh-banerjee
MAJ Amit Kumar Chand,Maj ,Amit Kumar Chand,amit-kumar-chand,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amit-kumar-chand
MAJ AMIT MOHINDRA,Maj ,Amit Mohindra,amit-mohindra,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amit-mohindra
MAJ AMIT SLATHIA,Maj ,Amit Slathia,amit-slathia,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/amit-slathia
MAJ ANIL KUMAR,Maj ,Anil Kumar,anil-kumar-1,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anil-kumar-1
MAJ ANKUR GARG,Maj ,Ankur Garg,ankur-garg,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ankur-garg
MAJ ANMOLE SINGH GHUMAN,Maj ,Anmole Singh Ghuman,anmole-singh-ghuman,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anmole-singh-ghuman
MAJ ANSHUL SHUKLA,Maj ,Anshul Shukla,anshul-shukla,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anshul-shukla
MAJ ANUJ SINGH,Maj ,Anuj Singh,anuj-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anuj-singh
MAJ ANURAG KUMAR,Maj ,Anurag Kumar,anurag-kumar-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anurag-kumar-0
MAJ ANURAG SRIVASTAVA,Maj ,Anurag Srivastava,anurag-srivastava,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/anurag-srivastava
MAJ ASHISH BHATNAGAR,Maj ,Ashish Bhatnagar,ashish-bhatnagar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ashish-bhatnagar
MAJ ASHOK ANAND,Maj ,Ashok Anand,ashok-anand,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ashok-anand
MAJ ASHUTOSH KUMAR PANDEY,Maj ,Ashutosh Kumar Pandey,ashutosh-kumar-pandey,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ashutosh-kumar-pandey
MAJ BABU RAM KUSHWAHA,Maj ,Babu Ram Kushwaha,babu-ram-kushwaha,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/babu-ram-kushwaha
MAJ BALDEV RAJ BHATIA,Maj ,Baldev Raj Bhatia,baldev-raj-bhatia,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/baldev-raj-bhatia
MAJ Balraj Sharma,Maj ,Balraj Sharma,balraj-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/balraj-sharma
MAJ BALRAJ SINGH SOHI,Maj ,Balraj Singh Sohi,balraj-singh-sohi,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/balraj-singh-sohi
MAJ BASIL MASSEY,Maj ,Basil Massey,basil-massey,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/basil-massey
MAJ BHARAT BHUSHAN BASRA,Maj ,Bharat Bhushan Basra,bharat-bhushan-basra,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bharat-bhushan-basra
MAJ BHARAT SINGH,Maj ,Bharat Singh,bharat-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bharat-singh
MAJ BHUPENDER SINGH,Maj ,Bhupender Singh,bhupender-singh-1,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bhupender-singh-1
MAJ BHUPENDER SINGH,Maj ,Bhupender Singh,bhupender-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bhupender-singh
MAJ BHUPENDRA SINGH RATHORE,Maj ,Bhupendra Singh Rathore,bhupendra-singh-rathore,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bhupendra-singh-rathore
MAJ BHUPESH HADA,Maj ,Bhupesh Hada,bhupesh-hada,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bhupesh-hada
MAJ BIBHANSHU DHONDIYAL,Maj ,Bibhanshu Dhondiyal,bibhanshu-dhondiyal,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/bibhanshu-dhondiyal
MAJ BRIJ KISHORE DHOUNDIYAL,Maj ,Brij Kishore Dhoundiyal,brij-kishore-dhoundiyal,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/brij-kishore-dhoundiyal
MAJ CHAND NARAYEN KAUL,Maj ,Chand Narayen Kaul,chand-narayen-kaul,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chand-narayen-kaul
MAJ CHANDER SHEKHAR SHARMA,Maj ,Chander Shekhar Sharma,chander-shekhar-sharma,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chander-shekhar-sharma
MAJ CHANDRA SHEKHAR SINGH,Maj ,Chandra Shekhar Singh,chandra-shekhar-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chandra-shekhar-singh
MAJ CHANDRA SHEKHER MISRA,Maj ,Chandra Shekher Misra,chandra-shekher-misra,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chandra-shekher-misra
MAJ CHATHOTH BINU BHARATHAN,Maj ,Chathoth Binu Bharathan,chathoth-binu-bharathan,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chathoth-binu-bharathan
MAJ CHIRAG SINGH BARAK,Maj ,Chirag Singh Barak,chirag-singh-barak,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/chirag-singh-barak
MAJ CYRIL JONATHAN ELIAS,Maj ,Cyril Jonathan Elias,cyril-jonathan-elias,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/cyril-jonathan-elias
"MAJ D PRADEEP KUMAR, SM","Maj , Sm",D Pradeep Kumar,d-pradeep-kumar-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/d-pradeep-kumar-sm
"MAJ D SESHASAI MURTY,SM","Maj ,sm",D Seshasai Murty,d-seshasai-murtysm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/d-seshasai-murtysm
MAJ DAYA CHAND,Maj ,Daya Chand,daya-chand,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/daya-chand
MAJ DEEPAK KUMAR PADDA,Maj ,Deepak Kumar Padda,deepak-kumar-padda,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/deepak-kumar-padda
MAJ DEEPAK RAWAT,Maj ,Deepak Rawat,deepak-rawat,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/deepak-rawat
MAJ DEEPAK YADAV,Maj ,Deepak Yadav,deepak-yadav,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/deepak-yadav
"MAJ DEVENDRA SINGH MANKOTI, SM","Maj , Sm",Devendra Singh Mankoti,devendra-singh-mankoti-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/devendra-singh-mankoti-sm
MAJ DHARMENDER GUPTA,Maj ,Dharmender Gupta,dharmender-gupta,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dharmender-gupta
MAJ DHARMESH YADAV,Maj ,Dharmesh Yadav,dharmesh-yadav,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dharmesh-yadav
MAJ DINESH KUMAR BISHT,Maj ,Dinesh Kumar Bisht,dinesh-kumar-bisht,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dinesh-kumar-bisht
MAJ DINESH SINGH PARMAR,Maj ,Dinesh Singh Parmar,dinesh-singh-parmar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dinesh-singh-parmar
MAJ DIPANKAR DEY,Maj ,Dipankar Dey,dipankar-dey,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dipankar-dey
MAJ DUSHYANT SINGH SHEKHAWAT,Maj ,Dushyant Singh Shekhawat,dushyant-singh-shekhawat,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/dushyant-singh-shekhawat
MAJ GANESH KALE,Maj ,Ganesh Kale,ganesh-kale,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ganesh-kale
MAJ GANESH MADAPPA,Maj ,Ganesh Madappa,ganesh-madappa,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ganesh-madappa
Maj Ganesh Singh Bhandari,Maj ,Ganesh Singh Bhandari,ganesh-singh-bhandari,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ganesh-singh-bhandari
"MAJ GAURAV RISHI, SM","Maj , Sm",Gaurav Rishi,gaurav-rishi-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gaurav-rishi-sm
MAJ GAURAV THAKUR,Maj ,Gaurav Thakur,gaurav-thakur,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gaurav-thakur
MAJ GAUTAM SEGAN,Maj ,Gautam Segan,gautam-segan,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gautam-segan
MAJ GOPI SINGH,Maj ,Gopi Singh,gopi-singh-0,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gopi-singh-0
MAJ GURMUKH SINGH DHILLON,Maj ,Gurmukh Singh Dhillon,gurmukh-singh-dhillon,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gurmukh-singh-dhillon
MAJ GURTEJ SINGH GREWAL,Maj ,Gurtej Singh Grewal,gurtej-singh-grewal,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/gurtej-singh-grewal
MAJ HARBUX SINGH GILL,Maj ,Harbux Singh Gill,harbux-singh-gill,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harbux-singh-gill
MAJ HARINDER PAL SINGH SANDHU,Maj ,Harinder Pal Singh Sandhu,harinder-pal-singh-sandhu,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harinder-pal-singh-sandhu
MAJ Harmandeep Singh Baidwan,Maj ,Harmandeep Singh Baidwan,harmandeep-singh-baidwan,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harmandeep-singh-baidwan
MAJ HARMEET SINGH SAMRA,Maj ,Harmeet Singh Samra,harmeet-singh-samra,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harmeet-singh-samra
MAJ HARMEET SINGH SIDHU,Maj ,Harmeet Singh Sidhu,harmeet-singh-sidhu,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harmeet-singh-sidhu
MAJ HARMINDER PAL SINGH,Maj ,Harminder Pal Singh,harminder-pal-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/harminder-pal-singh
MAJ HIMANSHU PANWAR,Maj ,Himanshu Panwar,himanshu-panwar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/himanshu-panwar
"MAJ HITESH BHALLA, SC, SM","Maj , Sc, Sm",Hitesh Bhalla,hitesh-bhalla-sc-sm,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/hitesh-bhalla-sc-sm
MAJ INDERJEET SINGH,Maj ,Inderjeet Singh,inderjeet-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/inderjeet-singh
MAJ ISHWAR SINGH DAHIYA,Maj ,Ishwar Singh Dahiya,ishwar-singh-dahiya,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/ishwar-singh-dahiya
MAJ JAGROOP SINGH BRAR,Maj ,Jagroop Singh Brar,jagroop-singh-brar,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jagroop-singh-brar
MAJ JASON JACOB JESU,Maj ,Jason Jacob Jesu,jason-jacob-jesu,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jason-jacob-jesu
MAJ JASWINDER PAL SINGH,Maj ,Jaswinder Pal Singh,jaswinder-pal-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jaswinder-pal-singh
MAJ JAYANT KUMAR TIWARI,Maj ,Jayant Kumar Tiwari,jayant-kumar-tiwari,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jayant-kumar-tiwari
MAJ JEEVAN B,Maj ,Jeevan B,jeevan-b,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jeevan-b
MAJ JITENDER SINGH SHEKHAWAT,Maj ,Jitender Singh Shekhawat,jitender-singh-shekhawat,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jitender-singh-shekhawat
MAJ JODHVIR SINGH,Maj ,Jodhvir Singh,jodhvir-singh,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jodhvir-singh
MAJ JOHN SOUNDRA PANDIAN,Maj ,John Soundra Pandian,john-soundra-pandian,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/john-soundra-pandian
MAJ JOSE MAVELIL GEORGE,Maj ,Jose Mavelil George,jose-mavelil-george,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jose-mavelil-george
MAJ JUGMAL SINGH VAGHELA,Maj ,Jugmal Singh Vaghela,jugmal-singh-vaghela,Shaurya Chakra,http://gallantryawards.gov.in/Awardee/jugmal-singh-vaghela
