_ - name,rank,enlabel,gov identfier,award,_ - external_url
BABU SINGH,,Babu Singh,babu-singh-1,Kirti Chakra,http://gallantryawards.gov.in/Awardee/babu-singh-1
BACHAN SINGH SADHRAO,,Bachan Singh Sadhrao,bachan-singh-sadhrao,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bachan-singh-sadhrao
BALAI CHANDRA MAITY,,Balai Chandra Maity,balai-chandra-maity,Kirti Chakra,http://gallantryawards.gov.in/Awardee/balai-chandra-maity
"BECHAN SINGH, ORD S/M",", Ord S/m",Bechan Singh,bechan-singh-ord-sm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bechan-singh-ord-sm
BIJENDER SINGH,,Bijender Singh,bijender-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bijender-singh
BINA,,Bina,bina,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bina
BISHAL SINGH,,Bishal Singh,bishal-singh,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bishal-singh
BRIG RAVI DATT MEHTA,Brig ,Ravi Datt Mehta,ravi-datt-mehta,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ravi-datt-mehta
BRIG SOM PARKASH JHINGON,Brig ,Som Parkash Jhingon,som-parkash-jhingon,Kirti Chakra,http://gallantryawards.gov.in/Awardee/som-parkash-jhingon
BR-II AK MAJI,Br-ii ,Ak Maji,ak-maji,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ak-maji
BR-II R N GULERIA,Br-ii ,R N Guleria,r-n-guleria,Kirti Chakra,http://gallantryawards.gov.in/Awardee/r-n-guleria
BUNDU KHAN,,Bundu Khan,bundu-khan,Kirti Chakra,http://gallantryawards.gov.in/Awardee/bundu-khan
C. STANLY,,C. Stanly,c-stanly,Kirti Chakra,http://gallantryawards.gov.in/Awardee/c-stanly
CAPT ABHINAV HANDA,Capt ,Abhinav Handa,abhinav-handa,Kirti Chakra,http://gallantryawards.gov.in/Awardee/abhinav-handa
CAPT AJIT SINGH,Capt ,Ajit Singh,ajit-singh-5,Kirti Chakra,http://gallantryawards.gov.in/Awardee/ajit-singh-5
CAPT ALLAH NOOR KATHAT,Capt Allah Noor Kathat,Allah NoKathat,allah-noor-kathat,Kirti Chakra,http://gallantryawards.gov.in/Awardee/allah-noor-kathat
CAPT AMIT SEMWAL,Capt ,Amit Semwal,amit-semwal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/amit-semwal
